-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 12/31/2018 
Location: Latitude  -33.3924   Longitude -70.7934 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1154.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,WS50M,WD50M
2017,3,17,0.0,19.6,6.25,6.96,1.98,2.97,170.88
2017,3,18,0.0,20.81,6.63,6.93,1.85,2.86,178.56
2017,3,19,0.0,19.39,6.41,6.87,1.93,2.76,175.75
2017,3,20,0.01,19.5,5.14,6.61,2.05,3.16,165.19
2017,3,21,0.0,20.13,6.44,6.59,2.02,3.17,170.0
2017,3,22,0.0,20.3,6.09,6.51,2.05,3.19,160.12
2017,3,23,0.0,20.22,6.36,6.49,1.95,2.73,170.81
2017,3,24,0.01,17.3,4.49,6.46,1.81,2.48,180.69
2017,3,25,0.02,16.67,6.08,6.51,1.72,2.62,186.25
2017,3,26,0.0,17.2,6.16,6.49,1.73,2.98,180.19
2017,3,27,1.04,18.06,6.51,6.56,1.81,2.77,190.0
2017,3,28,0.57,17.56,6.37,6.42,1.88,2.72,186.69
2017,3,29,1.41,13.48,4.62,6.2,1.81,2.85,195.06
2017,3,30,0.0,15.8,6.25,6.31,1.54,2.47,184.75
2017,3,31,0.01,16.03,6.3,6.42,1.78,2.81,193.5
2017,4,1,0.06,14.47,4.14,6.17,1.82,2.82,187.88
2017,4,2,0.0,15.75,6.3,6.32,1.49,2.77,150.38
2017,4,3,0.0,18.03,5.35,6.19,1.48,2.56,166.19
2017,4,4,1.21,15.72,4.75,6.06,1.76,3.05,171.88
2017,4,5,0.05,17.01,6.05,6.1,1.46,2.76,163.94
2017,4,6,0.0,17.03,5.81,6.03,1.97,3.45,155.12
2017,4,7,0.68,10.95,2.89,5.78,1.99,3.51,160.31
2017,4,8,0.0,9.96,4.1,5.71,1.74,2.7,179.38
2017,4,9,0.0,12.02,5.11,5.75,1.67,2.52,165.06
2017,4,10,0.0,15.48,5.6,5.76,1.48,2.51,143.0
2017,4,11,0.0,19.32,5.56,5.65,1.83,2.94,159.56
2017,4,12,0.0,18.48,5.35,5.56,1.63,2.41,164.19
2017,4,13,0.0,16.3,5.47,5.49,1.44,2.34,174.06
2017,4,14,0.12,14.85,4.57,5.51,1.43,2.47,170.56
2017,4,15,0.68,15.73,3.71,5.42,1.3,2.38,167.25
2017,4,16,1.31,15.79,2.76,5.27,1.08,2.3,144.38
2017,4,17,8.26,15.25,4.4,5.06,1.66,2.51,167.0
2017,4,18,2.58,12.99,4.05,4.93,1.7,2.81,146.75
2017,4,19,0.3,13.95,3.75,5.01,1.27,2.3,147.38
2017,4,20,3.23,13.29,1.3,4.92,1.41,2.98,135.88
2017,4,21,0.01,15.01,3.58,5.17,1.28,2.61,139.56
2017,4,22,0.0,16.06,4.27,5.07,1.55,2.88,142.06
2017,4,23,0.76,14.24,2.96,5.01,1.19,2.41,165.75
2017,4,24,0.65,13.08,2.96,4.97,1.27,2.45,145.12
2017,4,25,0.76,9.4,3.99,5.0,1.23,2.16,150.0
2017,4,26,0.0,11.15,4.62,5.09,1.62,3.38,121.19
2017,4,27,0.0,14.84,4.62,4.89,1.59,3.34,133.38
2017,4,28,0.0,16.94,4.49,4.87,1.79,3.39,137.69
2017,4,29,0.0,18.13,4.54,4.84,1.61,3.05,139.38
2017,4,30,0.0,17.69,4.46,4.86,1.57,3.14,140.62
2017,5,1,0.0,15.69,3.76,4.71,1.48,3.16,148.62
2017,5,2,0.0,13.85,2.92,4.65,1.58,3.11,155.81
2017,5,3,0.01,16.9,4.19,4.68,1.62,3.06,143.0
2017,5,4,0.61,16.44,4.18,4.53,1.52,3.27,135.12
2017,5,5,0.0,16.41,3.86,4.48,1.36,2.47,150.5
2017,5,6,0.28,12.43,3.57,4.44,2.2,4.3,158.31
2017,5,7,7.97,10.52,2.32,4.3,1.54,3.34,130.31
2017,5,8,3.17,11.63,3.54,4.4,1.05,2.15,110.69
2017,5,9,0.0,13.65,2.77,4.27,1.05,2.07,164.69
2017,5,10,2.69,11.61,1.96,4.14,1.14,1.95,176.19
2017,5,11,15.89,7.63,0.93,4.0,1.49,3.33,40.0
2017,5,12,2.26,8.58,1.97,4.02,0.91,2.27,107.06
2017,5,13,0.06,10.76,2.87,3.98,1.41,3.1,141.94
2017,5,14,0.5,10.46,1.1,3.94,1.38,3.21,128.81
2017,5,15,0.0,11.31,2.98,4.17,1.27,2.55,142.69
2017,5,16,0.0,10.34,2.12,3.99,1.64,3.15,123.38
2017,5,17,4.09,8.92,2.03,3.99,1.8,3.34,137.62
2017,5,18,10.12,4.57,1.28,3.9,1.02,1.63,151.81
2017,5,19,0.01,4.68,3.08,3.9,1.48,2.7,138.75
2017,5,20,0.0,7.32,3.39,4.08,1.23,2.81,112.19
2017,5,21,0.0,10.58,2.26,3.86,1.38,3.28,116.75
2017,5,22,0.0,10.87,1.31,3.88,1.27,2.86,100.12
2017,5,23,0.0,8.67,1.33,3.83,1.03,2.47,97.75
2017,5,24,2.57,8.73,1.01,3.79,0.89,1.76,115.88
2017,5,25,4.0,6.6,1.49,3.73,1.34,2.78,113.56
2017,5,26,0.11,8.4,2.24,3.71,1.41,2.62,162.38
2017,5,27,0.08,8.65,3.27,3.69,1.45,2.8,140.25
2017,5,28,0.0,8.33,2.44,3.71,1.53,3.33,145.69
2017,5,29,0.0,9.72,2.67,3.63,1.3,2.18,150.12
2017,5,30,0.0,9.44,2.98,3.61,1.36,2.32,135.69
2017,5,31,0.0,11.37,3.12,3.7,1.22,2.53,118.44
2017,6,1,0.0,10.95,2.7,3.68,1.38,3.33,122.88
2017,6,2,0.02,10.43,1.79,3.6,1.38,3.1,123.56
2017,6,3,0.0,7.79,3.19,3.78,1.24,2.25,137.44
2017,6,4,0.0,6.53,2.73,3.67,1.33,2.9,144.75
2017,6,5,0.0,7.33,2.47,3.71,1.27,2.56,144.94
2017,6,6,0.0,7.35,3.04,3.7,1.39,3.2,112.69
2017,6,7,4.49,5.05,0.79,3.42,2.23,4.21,80.81
2017,6,8,1.13,5.05,1.56,3.53,1.19,2.55,114.44
2017,6,9,0.0,9.15,2.83,3.53,1.3,2.51,117.38
2017,6,10,0.0,13.46,3.14,3.66,1.5,3.06,110.75
2017,6,11,0.0,11.56,2.82,3.57,1.4,3.28,126.06
2017,6,12,0.0,10.96,2.99,3.57,1.59,4.01,121.69
2017,6,13,0.0,11.12,1.78,3.49,1.55,4.18,69.81
2017,6,14,0.0,11.58,2.11,3.46,1.61,3.48,114.56
2017,6,15,0.69,8.79,2.39,3.52,2.05,4.97,102.75
2017,6,16,32.22,6.75,1.04,3.32,3.5,7.35,239.81
2017,6,17,8.3,1.3,1.31,3.51,1.38,3.23,98.25
2017,6,18,0.0,2.06,2.71,3.61,1.64,4.34,106.25
2017,6,19,0.0,7.48,1.58,3.53,1.88,5.41,81.5
2017,6,20,0.0,9.09,1.27,3.48,1.4,4.19,67.12
2017,6,21,0.05,9.39,1.0,3.46,1.66,5.09,131.5
2017,6,22,8.29,7.92,0.69,3.2,2.38,6.94,130.19
2017,6,23,0.55,10.75,1.32,3.38,1.28,3.12,59.44
2017,6,24,0.52,11.22,0.85,3.41,1.31,3.71,101.38
2017,6,25,6.02,9.78,1.62,3.25,1.93,4.63,153.06
2017,6,26,6.59,5.83,0.8,3.29,0.83,1.88,113.56
2017,6,27,1.15,7.76,2.48,3.34,0.95,1.91,128.75
2017,6,28,0.0,7.97,3.0,3.47,1.53,3.09,136.81
2017,6,29,0.0,9.57,2.94,3.51,1.42,3.2,105.81
2017,6,30,0.0,12.8,3.23,3.41,1.58,4.12,101.75
2017,7,1,0.0,14.89,3.04,3.65,1.37,3.62,137.75
2017,7,2,0.0,14.55,2.85,3.57,1.28,3.25,89.81
2017,7,3,0.04,10.62,1.43,3.41,1.18,3.18,56.5
2017,7,4,7.99,3.08,1.22,3.41,1.51,3.38,137.19
2017,7,5,0.0,5.82,0.85,3.56,1.52,3.99,60.44
2017,7,6,0.0,9.38,2.51,3.47,1.38,2.88,110.25
2017,7,7,0.01,9.9,2.8,3.62,1.52,3.49,86.25
2017,7,8,0.0,10.4,1.39,3.59,1.34,3.24,116.69
2017,7,9,0.02,10.98,1.89,3.56,1.23,2.8,127.25
2017,7,10,0.0,11.26,2.56,3.63,1.34,3.18,102.31
2017,7,11,0.0,12.46,3.16,3.7,1.72,3.84,112.94
2017,7,12,0.1,10.12,2.77,3.65,1.49,3.12,113.75
2017,7,13,3.88,5.98,1.85,3.64,1.77,4.03,76.38
2017,7,14,1.89,5.2,2.82,3.87,2.18,4.69,217.75
2017,7,15,10.46,-0.36,1.76,3.76,1.49,2.91,152.94
2017,7,16,0.32,0.11,2.97,3.78,1.13,2.19,125.31
2017,7,17,0.0,7.53,3.01,3.88,1.52,4.02,104.88
2017,7,18,0.0,11.37,3.19,3.83,1.39,3.78,106.81
2017,7,19,0.0,12.89,3.26,3.94,1.41,3.52,104.38
2017,7,20,0.0,14.19,3.29,3.86,1.62,3.63,114.0
2017,7,21,0.0,13.98,3.6,3.93,1.43,3.55,120.06
2017,7,22,0.03,10.83,2.05,3.83,1.63,3.62,120.12
2017,7,23,0.35,7.51,1.31,3.79,1.73,3.65,113.62
2017,7,24,0.01,8.3,2.84,3.99,1.27,3.12,148.12
2017,7,25,0.0,10.12,3.46,4.08,1.53,3.37,144.0
2017,7,26,0.0,12.55,3.61,4.17,1.37,3.15,101.94
2017,7,27,0.0,12.15,3.33,4.12,1.29,2.77,127.94
2017,7,28,0.0,10.0,3.27,4.13,1.06,2.3,147.56
2017,7,29,0.0,9.94,3.06,4.0,1.34,3.07,136.06
2017,7,30,0.0,11.51,3.15,4.18,1.4,2.99,138.06
2017,7,31,0.0,11.62,2.2,4.08,1.42,2.95,132.75
2017,8,1,0.0,7.19,1.15,4.06,1.17,1.94,144.06
2017,8,2,0.0,10.45,3.77,4.37,1.56,2.99,130.94
2017,8,3,0.0,12.97,3.8,4.3,1.3,2.7,130.62
2017,8,4,0.0,11.65,3.29,4.33,1.32,2.97,142.56
2017,8,5,0.07,9.62,1.97,4.38,1.62,3.13,131.69
2017,8,6,0.0,10.51,3.03,4.56,1.05,2.23,120.88
2017,8,7,0.02,8.41,2.23,4.41,1.51,3.15,141.25
2017,8,8,0.0,11.63,3.68,4.49,1.53,3.54,65.06
2017,8,9,5.6,9.52,0.87,4.44,1.91,4.3,129.75
2017,8,10,11.61,5.45,1.34,4.47,1.67,3.77,104.31
2017,8,11,7.53,3.44,1.22,4.57,0.86,1.6,150.94
2017,8,12,0.31,3.15,3.23,4.62,1.25,2.3,143.81
2017,8,13,0.53,4.65,1.49,4.61,1.77,3.98,116.38
2017,8,14,0.01,7.94,3.78,4.88,1.21,2.75,114.19
2017,8,15,0.0,9.76,3.05,4.85,1.38,3.2,113.12
2017,8,16,0.0,12.44,3.96,4.9,1.38,3.02,119.88
2017,8,17,0.0,12.46,4.53,4.99,1.27,2.59,131.81
2017,8,18,8.48,9.12,1.96,4.91,1.55,3.62,134.0
2017,8,19,1.21,7.11,3.41,5.09,1.3,2.69,128.38
2017,8,20,0.0,9.4,4.06,5.16,1.38,3.13,120.94
2017,8,21,0.0,14.23,4.3,5.16,1.5,3.58,121.25
2017,8,22,0.79,10.14,2.5,5.28,2.55,5.28,215.69
2017,8,23,1.23,8.05,4.09,5.17,1.78,3.92,124.12
2017,8,24,0.01,8.08,4.31,5.31,1.73,3.22,136.38
2017,8,25,0.33,7.8,3.61,5.24,1.62,2.99,175.44
2017,8,26,0.01,8.19,2.68,5.4,1.37,2.82,160.19
2017,8,27,0.01,7.73,3.49,5.35,1.97,3.53,158.19
2017,8,28,6.92,6.24,2.34,5.34,1.87,2.96,163.44
2017,8,29,2.25,4.94,4.48,5.6,1.34,2.98,95.5
2017,8,30,0.0,11.66,4.98,5.72,1.39,2.98,138.81
2017,8,31,0.0,12.9,5.3,5.77,1.64,3.39,147.31
2017,9,1,0.14,10.22,4.08,5.6,1.98,3.69,160.19
2017,9,2,0.0,10.39,4.76,5.58,1.31,2.47,159.5
2017,9,3,0.0,6.51,2.26,5.67,1.4,2.62,169.5
2017,9,4,0.0,7.19,5.55,6.02,1.52,3.29,127.0
2017,9,5,0.0,11.35,3.81,5.86,1.09,2.28,166.25
2017,9,6,0.0,9.77,4.54,6.1,1.4,2.58,163.75
2017,9,7,0.0,10.13,5.62,6.1,1.52,2.76,177.38
2017,9,8,0.11,8.28,2.78,6.08,1.34,2.52,193.19
2017,9,9,0.2,6.2,2.21,5.93,1.41,1.83,192.81
2017,9,10,4.08,4.87,2.54,6.08,1.43,2.26,189.38
2017,9,11,0.0,7.09,2.25,6.29,0.98,1.88,170.56
2017,9,12,0.0,7.69,4.48,6.01,1.45,1.92,181.44
2017,9,13,0.0,6.81,4.15,5.73,1.18,1.72,182.75
2017,9,14,0.06,8.44,4.44,6.44,1.52,3.11,149.12
2017,9,15,0.02,10.92,5.83,6.64,1.79,3.59,141.62
2017,9,16,0.0,16.72,6.06,6.63,1.62,3.12,163.19
2017,9,17,0.0,17.37,5.88,6.6,1.57,3.31,138.0
2017,9,18,0.11,16.44,5.12,6.32,1.55,2.66,158.56
2017,9,19,0.35,10.22,3.87,6.69,1.7,2.92,168.94
2017,9,20,0.0,9.15,5.5,6.77,1.78,2.45,169.44
2017,9,21,0.0,13.48,6.2,6.76,1.52,2.61,148.12
2017,9,22,0.0,16.34,6.17,6.83,1.82,3.36,141.88
2017,9,23,0.0,17.57,6.28,6.89,1.71,3.21,158.69
2017,9,24,0.0,15.25,5.4,6.97,1.55,2.96,147.19
2017,9,25,0.0,16.9,5.84,7.0,1.37,2.52,160.56
2017,9,26,0.02,16.64,3.51,6.81,1.22,2.7,158.88
2017,9,27,0.0,17.32,4.3,6.7,1.37,2.93,167.62
2017,9,28,0.0,15.81,3.09,6.63,1.35,2.97,166.19
2017,9,29,0.13,14.81,3.57,6.91,1.73,3.72,160.44
2017,9,30,13.04,7.72,1.8,7.01,2.37,5.16,260.06
2017,10,1,0.17,6.83,4.42,7.39,1.52,2.76,150.88
2017,10,2,1.47,9.48,3.79,7.37,1.27,2.53,140.25
2017,10,3,2.31,13.54,5.35,7.17,1.7,3.63,160.88
2017,10,4,18.37,8.3,2.89,7.07,2.98,5.88,238.06
2017,10,5,2.7,7.02,4.16,7.57,2.23,4.89,147.25
2017,10,6,0.0,14.91,6.24,7.64,1.67,3.39,148.25
2017,10,7,0.08,13.18,4.78,7.41,1.66,2.68,184.69
2017,10,8,0.02,11.33,5.72,7.7,1.43,2.39,167.38
2017,10,9,0.0,12.08,6.06,7.87,1.43,2.49,159.81
2017,10,10,0.02,10.15,5.51,7.83,1.72,2.67,172.94
2017,10,11,2.07,6.48,4.64,7.69,1.76,2.46,200.5
2017,10,12,0.73,6.26,5.76,7.87,1.66,2.68,161.5
2017,10,13,0.0,12.1,7.4,8.15,2.12,3.54,151.25
2017,10,14,0.0,16.48,7.23,8.11,1.95,3.74,160.12
2017,10,15,0.0,16.94,7.09,8.0,1.84,3.41,179.31
2017,10,16,0.0,15.28,6.26,8.01,2.29,3.8,178.31
2017,10,17,0.0,15.13,5.31,8.39,1.77,3.32,171.5
2017,10,18,0.0,14.44,6.74,8.25,1.5,2.66,174.56
2017,10,19,0.0,17.59,7.57,8.39,1.66,3.27,150.88
2017,10,20,0.0,15.31,2.19,8.22,1.26,2.59,153.44
2017,10,21,0.0,16.87,7.83,8.6,1.79,3.17,147.75
2017,10,22,0.0,18.26,7.16,8.32,1.47,2.59,175.06
2017,10,23,0.0,16.55,6.83,8.31,1.77,3.17,175.06
2017,10,24,0.0,15.73,7.56,8.4,1.73,3.01,181.12
2017,10,25,0.0,16.36,8.03,8.64,1.64,2.46,179.25
2017,10,26,0.0,14.72,7.16,8.34,1.86,2.95,178.0
2017,10,27,0.0,16.48,7.89,8.61,1.65,2.7,178.56
2017,10,28,0.07,12.3,6.15,8.53,1.83,2.93,187.44
2017,10,29,0.0,10.45,4.59,8.8,1.86,3.13,179.94
2017,10,30,0.0,13.44,8.01,8.86,1.77,3.12,182.56
2017,10,31,0.0,14.0,6.3,8.89,2.08,3.67,175.38
2017,11,1,0.99,12.58,2.7,8.64,2.01,3.8,176.62
2017,11,2,0.49,10.61,4.56,8.86,2.2,3.84,177.81
2017,11,3,0.0,12.77,5.22,9.03,1.95,3.82,181.44
2017,11,4,0.04,13.68,3.19,8.71,1.73,3.48,171.44
2017,11,5,0.04,17.73,7.22,8.81,1.9,3.28,183.69
2017,11,6,1.94,16.29,4.98,8.75,1.38,2.27,180.38
2017,11,7,0.1,15.95,4.84,8.8,1.5,2.48,188.44
2017,11,8,0.0,17.55,5.26,8.97,1.86,3.06,178.19
2017,11,9,0.04,18.04,7.64,8.97,1.84,2.98,179.62
2017,11,10,0.0,20.81,8.62,9.42,1.98,3.16,160.56
2017,11,11,0.0,22.01,8.66,9.28,2.1,3.15,165.94
2017,11,12,0.0,21.58,8.89,9.28,2.04,2.86,176.69
2017,11,13,0.0,20.44,8.44,9.14,2.12,2.9,179.5
2017,11,14,0.0,19.96,8.68,9.37,2.16,3.33,185.69
2017,11,15,0.0,16.16,8.1,9.5,1.73,2.86,181.0
2017,11,16,0.0,17.74,9.15,9.54,2.09,3.39,163.06
2017,11,17,0.22,17.44,8.0,9.57,2.06,3.33,168.44
2017,11,18,0.51,17.16,8.95,9.63,2.02,3.13,167.19
2017,11,19,0.0,19.38,8.91,9.51,2.09,3.27,173.94
2017,11,20,0.0,16.31,6.63,9.47,2.34,3.77,190.25
2017,11,21,0.0,18.53,9.3,9.67,2.11,3.45,165.5
2017,11,22,0.0,21.23,9.26,9.7,2.09,3.25,166.38
2017,11,23,0.0,20.79,9.28,9.71,2.14,3.27,191.25
2017,11,24,0.02,17.93,8.88,9.65,2.05,3.12,192.38
2017,11,25,0.04,20.78,9.08,9.54,2.2,3.09,185.31
2017,11,26,0.0,20.97,9.3,9.77,2.07,2.99,186.12
2017,11,27,0.0,21.1,8.53,9.33,2.3,3.48,169.06
2017,11,28,0.01,20.12,8.68,9.48,1.92,2.7,195.25
2017,11,29,0.01,19.39,8.83,9.76,1.94,2.92,183.06
2017,11,30,0.04,20.55,9.05,9.6,2.06,2.88,183.38
2017,12,1,0.68,18.08,7.62,9.39,1.98,2.68,180.38
2017,12,2,2.84,17.33,7.17,9.17,2.09,2.86,189.81
2017,12,3,1.04,17.42,8.87,9.52,2.03,3.02,178.94
2017,12,4,0.94,19.25,8.75,9.59,2.27,3.27,179.0
2017,12,5,0.23,20.08,8.95,9.64,2.03,3.02,193.06
2017,12,6,0.01,20.73,9.28,9.83,1.96,3.16,184.94
2017,12,7,0.07,21.72,9.45,9.7,2.02,2.89,186.25
2017,12,8,0.02,20.97,9.37,9.94,1.99,3.14,189.5
2017,12,9,0.0,22.58,9.67,9.86,2.21,3.48,174.25
2017,12,10,0.0,24.05,9.56,9.75,2.52,3.52,182.5
2017,12,11,0.0,20.67,8.74,9.45,2.15,2.6,188.81
2017,12,12,0.18,18.27,8.18,9.97,1.93,2.66,208.75
2017,12,13,0.01,19.63,9.63,10.0,1.95,3.13,189.62
2017,12,14,0.0,23.87,9.7,9.93,2.36,3.73,166.62
2017,12,15,0.0,25.19,9.81,10.03,2.21,3.32,177.38
2017,12,16,0.0,20.26,6.88,9.96,1.59,2.59,187.06
2017,12,17,0.0,23.26,9.71,9.89,2.09,3.6,181.19
2017,12,18,0.0,23.43,7.83,9.66,1.98,3.18,170.88
2017,12,19,0.0,24.3,9.84,10.03,2.05,2.99,180.5
2017,12,20,0.04,23.36,9.76,9.92,2.1,3.04,185.81
2017,12,21,0.03,23.01,9.78,10.04,2.23,3.32,179.31
2017,12,22,0.46,22.13,9.8,10.12,2.08,3.08,175.75
2017,12,23,1.13,21.04,9.42,9.89,2.13,3.3,177.56
2017,12,24,0.0,21.48,9.79,10.02,2.23,3.38,175.94
2017,12,25,0.0,22.61,9.63,9.8,2.04,2.81,187.94
2017,12,26,0.8,21.62,9.39,9.8,2.19,3.12,180.25
2017,12,27,0.24,21.88,9.29,9.85,2.33,3.39,174.69
2017,12,28,0.0,23.51,9.94,10.16,2.56,3.7,182.94
2017,12,29,0.0,22.61,9.82,9.96,2.55,3.58,183.62
2017,12,30,0.0,22.2,9.85,10.09,2.19,3.23,180.0
2017,12,31,0.02,19.99,5.17,9.62,2.03,2.9,196.31
2018,1,1,0.0,19.71,8.51,10.02,2.27,3.23,188.88
2018,1,2,0.0,20.51,8.96,9.88,2.06,3.15,180.31
2018,1,3,0.0,21.77,9.45,9.69,2.08,3.12,183.06
